BBOL.r,BBOL.r,ID#,Player Name,Bat Pow,Bat Con,Run,Speed,Arm Str,Arm Acc,Eye,Height,Coord,Attn,Aggr,Stamina,Int,Heat,S.Ball,L.Hook,R.Hook,C.Screw,Zig-Zag,B.Freeze,Fireball,Spitball,C.Ball,Slo-mo,Elevator,Bats,Throws,Gender,B-Day Month,B-Day Day,Nickname,,Offense,Speed,Defense,Pitching,Pitching (Cal),Best Position,OF,3B,SS/2B,1B,C,,Heat,,,,,H,S.Ball,,,,,S,L.Hook,,,,,L,R.Hook,,,,,R,Description of the Player,Pitching Type,B,R,P,F
14,TAKEN,50,Derek Jeter,79,72,81,7,98,82,77,3,100,73,63,48,53,38,12,0,80,55,0,0,0,0,35,0,0,Right,Right,Boy,Jun,26,D.J.,,88,75,99,36,36,any,99,99,99,93,91,,-14,3,5,177,37,29.2,12,2,0,279,0.0,0.0,24,2,0,279,0.0,0.0,-56,2,28,59,78.9,63.1,"Best fielder in the game (not immune to errors), great line drive hitter with some speed",,8,9,3,10
14,TAKEN,251,Marilyn McDonnell,79,72,81,7,98,82,77,3,100,73,63,48,53,38,12,0,80,55,0,0,0,0,35,0,0,Right,Right,Girl,,,,,88,75,99,36,36,any,99,99,99,93,91,,-14,3,5,177,37,29.2,12,2,0,279,0.0,0.0,24,2,0,279,0.0,0.0,-56,2,28,59,78.9,63.1,"Best fielder in the game (not immune to errors), great line drive hitter with some speed",,8,9,3,10
16,TAKEN,10,Kiesha Phillips,87,67,82,7,86,51,21,4,70,62,63,34,40,100,20,24,30,55,0,0,0,0,35,0,0,Right,Right,Girl,Apr,2,Flash,,90,75,96,36,36,any,95,97,95,98,73,,-76,3,26,22,92,73.7,4,2,0,279,0.0,0.0,0,2,0,279,0.0,0.0,-6,2,3,182,34.8,27.8,"Top tier fielder, good batter, one of two tall fast people",,9,9,4,6
17,TAKEN,17,Achmed Khan,95,84,66,6,30,29,38,3,80,8,73,43,49,51,17,50,0,93,100,53,0,0,0,75,47,Right,Right,Boy,Jul,11,Axeman,,92,60,64,29,29,1B,56,35,24,72,38,,-27,3,9,150,46,37.0,7,2,0,279,0.0,0.0,-26,2,13,140,49.8,39.9,24,2,0,279,0.0,0.0,"Top off. specialist, only competent at 1B, Amir Khan boost inflates his draft stock",,10,7,2,6
18,TAKEN,111,Zena Fromme,100,89,58,5,68,71,49,2,80,40,50,70,55,60,25,0,85,0,0,0,78,78,56,0,100,Right,Right,Girl,,,,,99,46,51,50,50,2B / 3B,37,45,47,32,61,,-36,3,12,126,55,43.9,-1,2,1,215,22.9,18.4,24,2,0,279,0.0,0.0,-61,2,31,44,84.2,67.4,"Max power, Best batter in the game, probably will get walked a lot",,10,6,5,8
18,TAKEN,161,Zenon Estrada,100,89,58,5,68,71,49,2,80,40,50,70,55,60,25,0,85,0,0,0,78,56,56,0,100,Right,Right,Boy,,,,,99,46,51,50,50,2B / 3B,37,45,47,32,61,,-36,3,12,126,55,43.9,-1,2,1,215,22.9,18.4,24,2,0,279,0.0,0.0,-61,2,31,44,84.2,67.4,"Max power, Best batter in the game, probably will get walked a lot",,10,6,5,8
20,TAKEN,208,Marsellus Marx,95,75,95,7,42,42,47,2,70,98,43,14,78,100,60,57,37,81,0,58,0,0,0,62,0,Right,Right,Boy,,,,,95,75,60,53,64,OF,70,50,52,68,47,,-76,4,19,64,77,38.5,-36,2,18,99,64.5,51.6,-33,2,17,128,54.1,43.3,-13,2,7,166,40.5,32.4,"Top tier offensive stats, gets tired pretty quickly playing any position",,10,10,6,6
21,TAKEN,45,Raul Mondesi,82,48,87,7,100,79,53,3,60,25,63,100,78,30,30,0,68,25,0,18,96,0,0,0,0,Right,Right,Boy,Mar,12,Tuesdesi,,85,75,98,55,55,any,97,98,98,87,96,,-6,2,3,189,32,32.3,-6,1,6,175,37.3,37.3,24,1,0,279,0.0,0.0,-44,1,44,9,96.8,96.8,"Top tier fielder but low attention, 100 stamina lets him pitch for a while",,8,9,5,8
21,TAKEN,246,Jessica Wassersas,82,48,87,7,100,79,53,3,60,25,63,100,78,30,30,0,68,25,0,18,96,0,0,0,0,Right,Right,Girl,,,,,85,75,98,55,55,any,97,98,98,87,96,,-6,2,3,189,32,32.3,-6,1,6,175,37.3,37.3,24,1,0,279,0.0,0.0,-44,1,44,9,96.8,96.8,"Top tier fielder but low attention, 100 stamina lets her pitch for a while",,8,9,5,8
23,TAKEN,55,Barry Bonds,81,50,94,7,94,66,65,3,80,76,34,76,44,10,34,47,86,0,81,0,58,70,0,0,71,Left,Left,Boy,Jul,24,Big Guy,,85,75,98,54,54,any,98,98,98,93,92,,14,3,0,279,0,0.0,-10,2,5,186,33.3,26.7,-23,2,12,155,44.4,35.6,-62,2,31,44,84.2,67.4,"Top tier fielder, great line drive hitter, NOT irl Barry Bonds",,8,10,6,9
23,TAKEN,256,Sarah Maxwell,81,50,94,7,94,66,65,3,80,76,34,76,44,10,34,47,86,0,81,0,58,70,0,0,71,Left,Left,Girl,,,,,85,75,98,54,54,any,98,98,98,93,92,,14,3,0,279,0,0.0,-10,2,5,186,33.3,26.7,-23,2,12,155,44.4,35.6,-62,2,31,44,84.2,67.4,"Top tier fielder, great line drive hitter, NOT irl Barry Bonds",,8,10,6,9
25,TAKEN,39,Kenny Lofton,76,48,99,8,82,78,53,3,80,47,87,65,65,0,52,60,86,0,89,0,31,0,41,0,0,Left,Left,Boy,May,31,Blur,,85,88,93,68,68,OF,96,92,89,90,79,,24,3,0,279,0,0.0,-28,2,14,112,59.9,47.9,-36,2,18,115,58.8,47.0,-62,2,31,44,84.2,67.4,"Extremely fast, good hitter, great fielder, decent relief pitcher",,7,10,6,9
25,TAKEN,240,Dawn Cozart,76,48,99,8,82,78,53,3,80,47,87,65,65,0,52,60,86,0,89,0,31,0,41,0,0,Left,Left,Girl,,,,,85,88,93,68,68,OF,96,92,89,90,79,,24,3,0,279,0,0.0,-28,2,14,112,59.9,47.9,-36,2,18,115,58.8,47.0,-62,2,31,44,84.2,67.4,"Extremely fast, good hitter, great fielder, decent relief pitcher",,7,10,6,9
27,TAKEN,2.1,Maria Luna,87,75,80,7,72,73,80,2,90,64,21,64,16,56,80,73,77,0,67,0,0,0,28,31,86,Left,Left,Girl,Jul,23,Pinky,,90,75,79,78,78,OF / P,93,71,74,68,72,,-32,3,11,138,51,40.4,-56,2,28,44,84.2,67.4,-49,2,25,77,72.4,57.9,-53,2,27,67,76.0,60.8,"Good hitter, great outfielder, great pitcher, useful for any pitching rotation",,9,9,9,10
28,TAKEN,71,Francis Blewer,87,67,82,7,86,51,31,2,70,62,13,34,40,100,20,94,30,55,0,0,0,35,0,0,0,Right,Right,Girl,,,,,90,75,87,67,67,SS / 3B,88,88,90,69,82,,-76,3,26,22,92,73.7,4,2,0,279,0.0,0.0,-70,2,35,19,93.2,74.6,-6,2,3,182,34.8,27.8,"Good hitter, great defender, decent relief pitchers",,9,9,6,7
28,TAKEN,121,Davy Marian,87,67,82,7,86,51,31,2,70,62,13,34,40,100,20,94,30,55,55,0,0,0,35,0,0,Right,Right,Boy,,,,,90,75,87,67,67,SS / 3B,88,88,90,69,82,,-76,3,26,22,92,73.7,4,2,0,279,0.0,0.0,-70,2,35,19,93.2,74.6,-6,2,3,182,34.8,27.8,"Good hitter, great defender, decent relief pitchers",,9,9,6,7
30,TAKEN,40,Larry Walker,85,73,75,6,92,96,98,3,60,72,63,26,59,10,68,27,25,18,0,38,76,0,78,57,21,Left,Right,Boy,Dec,1,Canadian Clubber,,87,60,89,41,41,any,92,90,92,87,85,,14,3,0,279,0,0.0,-44,2,22,75,73.1,58.5,-3,2,2,212,24.0,19.2,-1,2,1,208,25.4,20.4,"Solid hitter, great defender, good eyesight",,9,8,2,9
30,TAKEN,241,Emily Lewbel,85,73,75,6,92,96,98,3,60,72,63,26,59,10,68,27,25,18,0,38,76,0,78,57,21,Left,Right,Girl,,,,,87,60,89,41,41,any,92,90,92,87,85,,14,3,0,279,0,0.0,-44,2,22,75,73.1,58.5,-3,2,2,212,24.0,19.2,-1,2,1,208,25.4,20.4,"Solid hitter, great defender, good eyesight",,9,8,2,9
32,TAKEN,25,Pablo Sanchez,100,63,81,7,72,78,68,1,100,71,86,54,55,90,25,28,25,0,27,0,0,0,0,50,0,Right,Right,Boy,Aug,18,Secret Weapon,,97,75,54,39,39,OF / C,70,31,62,34,72,,-66,3,22,40,86,68.5,-1,2,1,215,22.9,18.4,-4,2,2,212,24.0,19.2,-1,2,1,208,25.4,20.4,"Max power + fast, really hard to use defensively because he's so short",,10,9,5,10
33,TAKEN,78,Jane Davis,95,84,81,7,30,29,38,2,80,8,73,43,49,51,17,50,0,93,100,53,0,0,75,75,47,Left,Left,Girl,,,,,96,75,44,29,29,OF / 2B,66,34,31,44,40,,-27,3,9,150,46,37.0,7,2,0,279,0.0,0.0,-26,2,13,140,49.8,39.9,24,2,0,279,0.0,0.0,"Top tier offensive stats, notably below average fielder, poor eyesight",,10,9,2,6
33,TAKEN,128,Fred Benson,95,84,81,7,30,29,38,2,80,8,73,43,49,51,17,50,0,93,93,100,53,0,0,75,47,Left,Left,Boy,,,,,96,75,44,29,29,OF / 2B,66,34,31,44,40,,-27,3,9,150,46,37.0,7,2,0,279,0.0,0.0,-26,2,13,140,49.8,39.9,24,2,0,279,0.0,0.0,"Top tier offensive stats, notably below average fielder, poor eyesight",,10,9,2,6
35,TAKEN,38,Barry Larkin,76,58,89,7,88,66,69,3,90,74,81,24,20,60,57,37,0,33,47,0,0,57,100,59,64,Right,Right,Boy,Apr,28,30/30,,79,75,94,46,46,any,98,96,96,92,87,,-36,3,12,126,55,43.9,-33,2,17,103,63.1,50.5,-13,2,7,191,31.5,25.2,24,2,0,279,0.0,0.0,"Great defender, good line drive hitter, poor stamina isn't too negative due to his arm",,7,9,2,10
35,TAKEN,239,Claudia Villarta,76,58,89,7,88,66,69,3,90,74,81,24,20,60,57,37,0,33,47,0,0,57,100,59,64,Right,Right,Girl,,,,,79,75,94,46,46,any,98,96,96,92,87,,-36,3,12,126,55,43.9,-33,2,17,103,63.1,50.5,-13,2,7,191,31.5,25.2,24,2,0,279,0.0,0.0,"Great defender, good line drive hitter, poor stamina isn't too negative due to his arm",,7,9,2,10
37,TAKEN,179,Kathy Wolf,61,19,99,8,94,94,14,2,30,73,39,41,32,80,28,50,42,47,0,0,100,59,28,68,75,Right,Right,Girl,,,,,79,88,93,52,52,C,90,93,97,71,92,,-56,3,19,64,77,61.6,-4,2,2,201,28.0,22.4,-26,2,13,140,49.8,39.9,-18,2,9,152,45.5,36.4,"Extremely fast, best speed + arm combo, top 5 catcher, tough to master but rewarding",,4,10,5,4
38,TAKEN,41,Juan Gonzalez,83,69,64,6,94,46,72,3,80,51,58,45,55,62,37,47,29,0,60,44,0,86,39,0,0,Right,Right,Boy,Oct,16,Juan Gone,,83,60,89,44,44,3B / SS,87,93,93,81,89,,-38,3,13,115,59,47.0,-13,2,7,168,39.8,31.8,-23,2,12,155,44.4,35.6,-5,2,3,182,34.8,27.8,"Good hitter, great defender, lacks consistent home run power",,9,7,4,9
38,TAKEN,242,Fay Dawson,83,69,64,6,94,46,72,3,80,51,58,45,55,62,37,47,29,0,60,44,0,86,39,0,0,Right,Right,Girl,,,,,83,60,89,44,44,3B / SS,87,93,93,81,89,,-38,3,13,115,59,47.0,-13,2,7,168,39.8,31.8,-23,2,12,155,44.4,35.6,-5,2,3,182,34.8,27.8,"Good hitter, great defender, lacks consistent home run power",,9,7,4,9
40,TAKEN,210,Maynard McElroy,51,56,97,8,80,67,80,2,20,98,28,80,46,0,45,81,25,76,0,0,39,0,85,80,0,Left,Left,Boy,,,,,80,88,90,53,53,OF,95,84,90,71,80,,24,3,0,279,0,0.0,-21,2,11,142,49.1,39.3,-57,2,29,43,84.6,67.7,-1,2,1,208,25.4,20.4,"Extremely fast, easy to use at nearly every defensive position, decent hitter",,5,10,5,4
41,TAKEN,48,Vladimir Guerrero,82,54,72,6,94,39,59,3,60,3,43,72,42,74,28,33,33,93,100,53,0,0,0,75,47,Right,Right,Boy,Feb,9,Alvino,,82,60,86,42,42,OF / 3B,82,89,87,76,87,,-50,3,17,78,72,57.6,-4,2,2,201,28.0,22.4,-9,2,5,197,29.4,23.5,-9,2,5,174,37.6,30.1,"Good hitter, great defender but poor attention, lacks consistent home run power",,8,8,5,7
41,TAKEN,249,Kay O'Toole,82,54,72,6,94,39,59,3,60,3,43,72,42,74,28,33,33,93,100,53,0,0,0,75,47,Right,Right,Girl,,,,,82,60,86,42,42,OF / 3B,82,89,87,76,87,,-50,3,17,78,72,57.6,-4,2,2,201,28.0,22.4,-9,2,5,197,29.4,23.5,-9,2,5,174,37.6,30.1,"Good hitter, great defender but poor attention, lacks consistent home run power",,8,8,5,7
43,TAKEN,6,Sally Dobbs,94,1,67,6,86,84,31,4,70,50,12,42,32,80,71,35,68,97,0,97,0,0,0,50,80,Right,Right,Girl,Nov,11,The Boss,,71,60,88,68,68,3B / 1B,76,92,86,97,73,,-56,3,19,64,77,61.6,-47,2,24,62,77.8,62.2,-11,2,6,194,30.5,24.4,-44,2,22,103,63.1,50.5,"Great defender, good relief pitcher, top tier power but 1 contact holds her back a lot",,7,7,7,8
43.1,TAKEN,6.1,Sally (w/ Ronny),74,51,67,6,96,94,71,4,90,70,72,82,62,80,91,65,78,97,0,97,0,0,0,80,90,Right,Right,Girl,Nov,11,The Boss,,71,60,96,77,89,P,92,97,96,97,87,,-56,3,19,64,77,61.6,-67,2,34,17,93.9,75.1,-41,2,21,110,60.6,48.5,-54,2,27,67,76.0,60.8,Not considered worthwhile since Ronny Dobbs becomes totally useless with Sally,,7,7,10,10
44,TAKEN,61,Alex Rodriguez,75,60,85,7,74,76,55,3,90,20,50,70,70,12,42,30,20,0,0,0,0,0,0,0,0,Right,Right,Boy,Jul,27,A-Rod,,79,75,84,24,24,OF,93,79,76,81,72,,12,3,0,279,0,0.0,-18,2,9,152,45.5,36.4,-6,2,3,202,27.6,22.1,4,2,0,279,0.0,0.0,"Good line drive hitter, last great fielder who is fast but poor attention",,7,9,3,9
44,TAKEN,262,Zoe Mallory,75,60,85,7,74,76,55,3,90,20,50,70,70,12,42,30,20,0,0,0,0,0,0,0,0,Right,Right,Girl,,,,,79,75,84,24,24,OF,93,79,76,81,72,,12,3,0,279,0,0.0,-18,2,9,152,45.5,36.4,-6,2,3,202,27.6,22.1,4,2,0,279,0.0,0.0,"Good line drive hitter, last great fielder who is fast but poor attention",,7,9,3,9
46,TAKEN,57,Mark McGwire,100,50,31,4,62,50,63,4,80,68,34,40,66,68,40,75,50,46,19,23,90,50,0,82,0,Right,Right,Boy,Oct,1,Mac,,87,32,69,62,62,1B,29,47,36,91,45,,-44,3,15,100,64,51.3,-16,2,8,156,44.1,35.3,-51,2,26,59,78.9,63.1,-26,2,13,127,54.5,43.6,"Max power, good 1B and good relief pitcher, will get walked a lot without backup",,10,4,6,8
46,TAKEN,258,Sophie Meyer,100,50,31,4,62,50,63,4,80,68,34,40,66,68,40,75,50,46,19,23,90,50,0,82,0,Right,Right,Girl,,,,,87,32,69,62,62,1B,29,47,36,91,45,,-44,3,15,100,64,51.3,-16,2,8,156,44.1,35.3,-51,2,26,59,78.9,63.1,-26,2,13,127,54.5,43.6,"Max power, good 1B and good relief pitcher, will get walked a lot without backup",,10,4,6,8
48,TAKEN,176,Joan Mae,100,62,24,4,64,21,30,2,10,76,52,13,39,29,93,22,12,0,65,0,73,0,0,65,48,Left,Left,Girl,,,,,91,32,25,36,38,2B,11,29,34,23,55,,-5,4,2,208,25,12.7,-69,2,35,16,94.3,75.4,2,2,0,279,0.0,0.0,12,2,0,279,0.0,0.0,"Max power, poor defense but has an okay arm, will get walked a lot without backup",,10,3,2,1
49,TAKEN,166,Courtney Valentino,82,73,90,7,78,100,15,2,40,61,71,29,80,53,75,73,12,0,97,0,0,50,0,0,60,Right,Right,Girl,,,,,80,75,77,65,65,3B / SS,75,76,79,66,77,,-29,3,10,144,48,38.7,-51,2,26,47,83.2,66.5,-49,2,25,77,72.4,57.9,12,2,0,279,0.0,0.0,"Good hitter, good defender and relief pitcher, awful eyesight is tough to use",,9,10,5,5
50,TAKEN,104,Star Moonbeam,20,39,100,9,18,54,78,2,70,82,37,63,73,62,50,0,45,23,0,25,75,75,0,30,28,Right,Right,Girl,,,,,80,100,52,49,49,OF,76,34,34,62,34,,-38,3,13,115,59,47.0,-26,2,13,123,55.9,44.7,24,2,0,279,0.0,0.0,-21,2,11,151,45.9,36.7,"Max speed, their entire gameplan is built around them being absurdly fast",,2,10,5,6
50,TAKEN,154,Stuart Sullivan,20,39,100,9,18,54,78,2,70,82,37,63,73,62,50,0,45,23,0,25,75,0,0,30,28,Right,Right,Boy,,,,,80,100,52,49,49,OF,76,34,34,62,34,,-38,3,13,115,59,47.0,-26,2,13,123,55.9,44.7,24,2,0,279,0.0,0.0,-21,2,11,151,45.9,36.7,"Max speed, their entire gameplan is built around them being absurdly fast",,2,10,5,6
52,TAKEN,35,Nomar Garciaparra,81,56,64,6,72,87,77,3,90,48,58,83,96,79,0,100,22,97,0,97,0,0,0,50,80,Right,Right,Boy,Jul,23,Spiderman,,82,60,75,68,80,OF / 3B,78,73,68,78,70,,-55,3,19,64,77,61.6,24,2,0,279,0.0,0.0,-76,2,38,13,95.3,76.3,2,2,0,279,0.0,0.0,"Good line drive hitter, good defender, very good pitcher in a pinch but a poor starter",,8,7,7,10
52,TAKEN,236,Brenda Markart,81,56,64,6,72,87,77,3,90,48,58,83,96,79,0,100,22,97,0,97,0,0,0,50,80,Right,Right,Girl,,,,,82,60,75,68,80,OF / 3B,78,73,68,78,70,,-55,3,19,64,77,61.6,24,2,0,279,0.0,0.0,-76,2,38,13,95.3,76.3,2,2,0,279,0.0,0.0,"Good line drive hitter, good defender, very good pitcher in a pinch but a poor starter",,8,7,7,10
54,TAKEN,34,Cal Ripken Jr.,74,68,69,6,80,96,48,3,90,82,56,100,100,10,25,70,29,0,73,0,44,0,0,26,72,Right,Right,Boy,Aug,24,Iron Man,,73,60,84,53,53,3B / SS,71,85,82,88,80,,14,2,0,279,0,0.0,-1,1,1,215,22.9,22.9,-46,1,46,6,97.8,97.8,-5,1,5,174,37.6,37.6,"Good hitter with great defensive stats, gives his whole team +10 stamina (caps at 100)",,8,7,5,10
55,TAKEN,33,Chipper Jones,82,62,63,6,80,75,72,3,70,89,83,10,55,73,37,47,55,62,0,0,0,0,0,0,85,Both,Right,Boy,Apr,24,Chipper,,83,60,84,47,53,3B / 1B,80,85,82,89,79,,-49,4,13,115,59,29.4,-13,2,7,168,39.8,31.8,-23,2,12,155,44.4,35.6,-31,2,16,119,57.3,45.9,"Good hitter, can play any position very well but poor stamina can sometimes hurt him",,8,7,4,8
55,TAKEN,234,Anna Goudreau,82,62,63,6,80,75,72,3,70,89,83,10,55,73,37,47,55,62,0,0,0,0,0,0,85,Both,Right,Girl,,,,,83,60,84,47,53,3B / 1B,80,85,82,89,79,,-49,4,13,115,59,29.4,-13,2,7,168,39.8,31.8,-23,2,12,155,44.4,35.6,-31,2,16,119,57.3,45.9,"Good hitter, can play any position very well but poor stamina can sometimes hurt him",,8,7,4,8
57,TAKEN,226,Maya Woodruff,84,88,46,5,94,48,40,2,70,90,4,4,60,75,0,45,38,0,21,10,0,65,65,39,35,Left,Left,Girl,,,,,81,46,80,37,37,C,42,74,80,49,86,,-51,4,13,115,59,29.4,24,2,0,279,0.0,0.0,-21,2,11,165,40.9,32.7,-14,2,7,166,40.5,32.4,"Extremely good hitter for average and power, great catcher and IF but lacks in stamina",,10,5,2,7
58,TAKEN,30,Mikey Thomas,90,81,31,4,100,49,58,2,70,41,30,24,61,38,73,37,47,0,0,100,0,84,49,0,0,Left,Left,Boy,Oct,19,Nugget,,74,32,76,54,54,C,28,68,72,26,88,,-14,3,5,177,37,29.2,-49,2,25,55,80.3,64.2,-13,2,7,191,31.5,25.2,-23,2,12,141,49.5,39.6,"Good power hitter, primarily used as a catcherr. Struggles to run the bases.",,10,4,4,8
59,TAKEN,68,Debby Nagasawa,85,95,65,6,64,82,71,2,30,85,41,60,28,10,34,47,86,0,89,0,31,41,0,0,0,Right,Right,Girl,,,,,88,60,63,54,54,OF,65,62,63,59,64,,14,3,0,279,0,0.0,-10,2,5,186,33.3,26.7,-23,2,12,155,44.4,35.6,-62,2,31,44,84.2,67.4,"Great hitter for average but lacks top tier slugging, so-so fielder at every position",,10,7,5,5
60,TAKEN,222,Rachel La Buena,98,37,54,5,26,19,83,2,100,1,11,63,59,100,12,0,38,86,81,0,91,70,0,21,10,Right,Right,Girl,,,,,92,46,20,38,38,OF,35,12,11,14,32,,-76,3,26,22,92,73.7,12,2,0,279,0.0,0.0,24,2,0,279,0.0,0.0,-14,2,7,166,40.5,32.4,"Top tier power without crippling speed, good eyesight, poor defense",,9,6,4,8
61,TAKEN,212,Parker Collum,98,37,54,5,28,19,58,2,60,1,70,53,29,0,12,42,73,86,81,0,91,70,0,21,10,Right,Right,Boy,,,,,91,46,18,35,35,OF,30,13,11,12,32,,24,3,0,279,0,0.0,12,2,0,279,0.0,0.0,-18,2,9,180,35.5,28.4,-49,2,25,85,69.5,55.6,"Top tier power without crippling speed, poor defense",,9,6,3,4
